,Code,Neighborhood,Price,m²,Street,Price/m²
302,222281, Teresópolis,560000.0,197.0,Rua Alfredo Varela,2842.6395939086296
303,107387, Petrópolis,399500.0,62.8,Avenida Lavras,6361.464968152866
304,140214, Chácara das Pedras,859000.0,136.15,Avenida Doutor Nilo Peçanha,6309.217774513404
305,212602, Azenha,260000.0,47.8,Rua Vinte de Setembro,5439.330543933054
306,220116, Cristo Redentor,190000.0,42.28,Rua Amaragi,4493.850520340587
307,221466, Menino Deus,2111601.0,151.54,Rua Marcílio Dias,13934.281377854033
308,222071, Parque Santa Fé,720000.0,210.26,Rua Petronilla Cogo,3424.3317797013224
309,225654, Vila Nova,218500.0,51.17,Avenida Rodrigues da Fonseca,4270.080125073285
310,293079, Partenon,200000.0,57.14,Avenida Ipiranga,3500.1750087504374
311,198308, Ipanema,980000.0,379.24,Rua Cassino,2584.1155996202933
312,213415, Bom Fim,617500.0,124.77,Travessa Miranda e Castro,4949.106355694478
313,217298, Moinhos de Vento,493050.0,41.34,Avenida Benjamin Constant,11926.705370101596
314,181319, São João,1650000.0,636.29,Rua Zamenhoff,2593.1572081912336
315,189608, Cavalhada,180000.0,40.29,Avenida Família Gonçalves Carneiro,4467.6098287416235
316,201272, Nonoai,351500.0,99.57,Rua Sebastião Wolf,3530.1797730240037
317,201642, Jardim Itu,650000.0,166.77,Rua Jalmar Azambuja Diniz,3897.5834982310967
318,228626, Lomba do Pinheiro,239000.0,65.0,Rua Arthur Alberto Zanela,3676.923076923077
319,253318, São Geraldo,340001.0,90.0,Avenida Polônia,3777.788888888889
320,225818, Petrópolis,600000.0,157.63,Avenida Ijuí,3806.3820338768
321,211531, Petrópolis,245000.0,42.7,Avenida Coronel Lucas de Oliveira,5737.704918032787
322,219698, Cidade Baixa,340000.0,37.61,Avenida Venâncio Aires,9040.148896570061
323,211396, Cristal,361000.0,40.84,Avenida Wenceslau Escobar,8839.373163565131
324,216688, Rio Branco,1140000.0,120.1,Rua Quintino Bocaiúva,9492.089925062448
325,265577, São João,563778.0,67.3,Avenida Ceará,8377.087667161963
326,197029, Jardim Lindóia,650000.0,67.43,Rua Jerônymo Zelmanovitz,9639.626279104255
327,250548, Três Figueiras,2050000.0,457.0,Rua Carlos Huber,4485.776805251641
328,451119, Petrópolis,499000.0,105.39,Avenida Bagé,4734.79457254009
329,103433, Mário Quintana,170000.0,47.0,Rua Deodoro,3617.021276595745
330,193534, Sarandi,320000.0,62.21,Avenida Engenheiro Francisco Rodolfo Simch,5143.867545410706
331,214327, Hípica,454789.0,130.0,Rua Tapera,3498.376923076923
332,223186, Cidade Baixa,719012.0,62.92,Rua General Lima e Silva,11427.399872854417
333,263044, Passo da Areia,130000.0,32.29,Rua Coronel João Corrêa,4026.0142458965624
334,191103, Santana,339000.0,79.4,Rua Laurindo,4269.521410579345
335,254570, Passo da Areia,590000.0,63.69,Praça Doutor Gastão Santos,9263.620662584393
336,189526, Teresópolis,389990.0,59.91,Rua Dário Totta,6509.597729928226
337,190537, Auxiliadora,320500.0,70.57,Rua Eudoro Berlink,4541.589910726938
338,206692, Jardim Lindóia,1382730.0,150.3,Rua Emílio Müller,9199.800399201597
339,208216, Jardim Leopoldina,151000.0,42.37,Avenida Juscelino Kubitschek de Oliveira,3563.842341279207
340,209608, Tristeza,379000.0,79.14,Avenida Wenceslau Escobar,4788.981551680566
